"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.86024816326251,0.864,0.064,0,"excitatory neurons","MLIP"
0,3.66347207263326,0.868,0.075,0,"excitatory neurons","KIAA1211L"
0,3.10465519663683,0.903,0.13,0,"excitatory neurons","SV2B"
0,3.13978699228084,0.911,0.142,0,"excitatory neurons","MIR137HG"
0,2.99033854608358,0.924,0.165,0,"excitatory neurons","SATB2"
0,2.9211991404629,0.928,0.173,0,"excitatory neurons","SH3GL2"
0,3.00109807727012,0.971,0.216,0,"excitatory neurons","NELL2"
0,2.7611260894404,0.906,0.152,0,"excitatory neurons","OLFM3"
0,3.39226202821308,0.88,0.13,0,"excitatory neurons","LINC01250"
0,4.38730191868104,0.832,0.083,0,"excitatory neurons","CBLN2"
0,3.30472040741492,0.991,0.244,0,"excitatory neurons","RALYL"
0,2.37387509777134,0.961,0.215,0,"excitatory neurons","CHRM3"
0,3.5795907870747,0.843,0.102,0,"excitatory neurons","FSTL4"
0,2.76732151326423,0.982,0.242,0,"excitatory neurons","DLGAP2"
0,2.94527320138133,0.92,0.181,0,"excitatory neurons","ST6GALNAC5"
0,3.14290981684964,0.965,0.231,0,"excitatory neurons","LDB2"
0,1.91679214683096,0.959,0.227,0,"excitatory neurons","MTUS2"
0,2.72958420081393,0.981,0.252,0,"excitatory neurons","KCNQ5"
0,2.23667361442569,0.932,0.206,0,"excitatory neurons","LINGO2"
0,2.03960427491265,0.935,0.213,0,"excitatory neurons","GALNT17"
0,3.21287271553647,0.822,0.102,0,"excitatory neurons","AL591501.1"
0,2.34034852836178,0.937,0.218,0,"excitatory neurons","ASIC2"
0,3.09499418115319,0.976,0.258,0,"excitatory neurons","CDH18"
0,2.53936128213466,0.949,0.233,0,"excitatory neurons","ADGRL2"
0,3.85223531366918,0.796,0.082,0,"excitatory neurons","AC011287.1"
0,2.74275791698015,0.886,0.173,0,"excitatory neurons","EPHA4"
0,2.59519120330031,0.888,0.175,0,"excitatory neurons","AL008633.1"
0,2.51539095861687,0.907,0.196,0,"excitatory neurons","RGS6"
0,2.95802331943419,0.842,0.133,0,"excitatory neurons","NDST3"
0,2.24201148175345,0.941,0.232,0,"excitatory neurons","CACNA1B"
0,3.02363209078557,0.843,0.135,0,"excitatory neurons","CAMK2A"
0,2.78665180241813,0.984,0.276,0,"excitatory neurons","MEG3"
0,2.14196730964048,0.916,0.209,0,"excitatory neurons","GABBR2"
0,2.29071609972041,0.885,0.178,0,"excitatory neurons","SORCS1"
0,1.78206929354623,0.947,0.24,0,"excitatory neurons","GABRB2"
0,4.01645803394922,0.755,0.048,0,"excitatory neurons","LY86-AS1"
0,2.26605959805571,0.972,0.265,0,"excitatory neurons","FRMPD4"
0,3.3332456785262,0.79,0.086,0,"excitatory neurons","CABP1"
0,2.39385818435721,0.88,0.178,0,"excitatory neurons","PCSK2"
0,2.48495387430696,0.926,0.226,0,"excitatory neurons","HECW1"
0,2.56975975243236,0.849,0.149,0,"excitatory neurons","RBFOX3"
0,2.38116763133663,0.881,0.182,0,"excitatory neurons","CDH12"
0,2.36078856354832,0.932,0.233,0,"excitatory neurons","KSR2"
0,2.99459322461475,0.825,0.126,0,"excitatory neurons","GRM1"
0,2.59167116411071,0.855,0.157,0,"excitatory neurons","VSNL1"
0,2.30714756703628,0.972,0.274,0,"excitatory neurons","SLC4A10"
0,3.08712436458243,0.787,0.09,0,"excitatory neurons","KCNIP4-IT1"
0,3.53937863094738,0.751,0.055,0,"excitatory neurons","ANO3"
0,2.65759122039923,0.958,0.262,0,"excitatory neurons","GABRB3"
0,2.44387904334642,0.901,0.206,0,"excitatory neurons","KIAA1549L"
0,2.20969601508381,0.961,0.269,0,"excitatory neurons","ARPP21"
0,2.48623027654963,0.904,0.214,0,"excitatory neurons","AMPH"
0,2.86066672998059,0.904,0.214,0,"excitatory neurons","SYN3"
0,2.6802662018605,0.833,0.143,0,"excitatory neurons","PRICKLE1"
0,2.52924831161491,0.973,0.283,0,"excitatory neurons","LRFN5"
0,4.08124164623651,0.75,0.061,0,"excitatory neurons","AL117329.1"
0,1.95660744630295,0.969,0.28,0,"excitatory neurons","DCLK1"
0,1.80983841598627,0.917,0.229,0,"excitatory neurons","HCN1"
0,2.35359056502502,0.902,0.216,0,"excitatory neurons","ITPR1"
0,2.90186322552395,0.894,0.208,0,"excitatory neurons","TAFA1"
0,1.7329673209488,0.956,0.27,0,"excitatory neurons","MYT1L"
0,2.10962183040851,0.877,0.191,0,"excitatory neurons","ZNF385B"
0,1.97908647964561,0.976,0.294,0,"excitatory neurons","GRM5"
0,1.82154933600472,0.939,0.257,0,"excitatory neurons","GRIN2B"
