"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"pyruvate metabolic process (GO:0006090)","5/55",2.29312653466467e-05,0.00906779004367117,0,0,16.6605042016807,177.984320989321,"GPI;HK3;LDHA;ME1;ENO1"
"glycolytic process (GO:0006096)","4/29",2.9647705995848e-05,0.00906779004367117,0,0,26.468,275.958697805743,"GPI;HK3;LDHA;ENO1"
"negative regulation of translation, ncRNA-mediated (GO:0040033)","3/11",3.70113879333517e-05,0.00906779004367117,0,0,61.5743801652893,628.322518405919,"ZFP36;AGO4;AGO2"
"miRNA mediated inhibition of translation (GO:0035278)","3/11",3.70113879333517e-05,0.00906779004367117,0,0,61.5743801652893,628.322518405919,"ZFP36;AGO4;AGO2"
"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)","3/15",0.000100227097222173,0.0163704258796216,0,0,41.0413223140496,377.911449797015,"ZFP36;AGO2;ZFP36L1"
"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)","3/15",0.000100227097222173,0.0163704258796216,0,0,41.0413223140496,377.911449797015,"ZFP36;AGO2;ZFP36L1"
"carbohydrate catabolic process (GO:0016052)","4/41",0.000119354812737646,0.0167096737832705,0,0,17.872972972973,161.453890664418,"GPI;HK3;LDHA;ENO1"
"neutrophil degranulation (GO:0043312)","11/481",0.000204173012976292,0.0226550865686729,0,0,4.01931839578234,34.1503108599168,"SDCBP;GPI;HK3;ANXA2;SLC11A1;IMPDH2;CLEC5A;PADI2;PSEN1;SLC2A5;CTSB"
"neutrophil activation involved in immune response (GO:0002283)","11/485",0.000219253445163907,0.0226550865686729,0,0,3.98457861917031,33.5711993681133,"SDCBP;GPI;HK3;ANXA2;SLC11A1;IMPDH2;CLEC5A;PADI2;PSEN1;SLC2A5;CTSB"
"neutrophil mediated immunity (GO:0002446)","11/488",0.00023117435274156,0.0226550865686729,0,0,3.95890614274318,33.1453017560673,"SDCBP;GPI;HK3;ANXA2;SLC11A1;IMPDH2;CLEC5A;PADI2;PSEN1;SLC2A5;CTSB"
"p38MAPK cascade (GO:0038066)","2/5",0.000376676288753193,0.0299629658561511,0,0,108.595628415301,856.181442624483,"ZFP36;ZFP36L1"
"mRNA cleavage involved in gene silencing by miRNA (GO:0035279)","2/5",0.000376676288753193,0.0299629658561511,0,0,108.595628415301,856.181442624483,"AGO4;AGO2"
"canonical glycolysis (GO:0061621)","3/24",0.000428042369373588,0.0299629658561511,0,0,23.4415584415584,181.819487195071,"GPI;HK3;ENO1"
"glucose catabolic process to pyruvate (GO:0061718)","3/24",0.000428042369373588,0.0299629658561511,0,0,23.4415584415584,181.819487195071,"GPI;HK3;ENO1"
"glycolytic process through glucose-6-phosphate (GO:0061620)","3/25",0.000484217190083171,0.0316355230854338,0,0,22.3749060856499,170.787143798767,"GPI;HK3;ENO1"
"negative regulation of erythrocyte differentiation (GO:0045647)","2/6",0.000562721356492043,0.032439231138953,0,0,81.4426229508197,609.412830522918,"ZFP36;ZFP36L1"
"regulation of keratinocyte apoptotic process (GO:1902172)","2/6",0.000562721356492043,0.032439231138953,0,0,81.4426229508197,609.412830522918,"ZFP36;ZFP36L1"
"positive regulation of macromolecule metabolic process (GO:0010604)","9/384",0.000658066925530562,0.0358280881677751,0,0,4.06977391304348,29.8159936004555,"TFRC;SETDB1;ANXA2;AGO4;SLC11A1;ID2;AGO2;ZNF804A;PSEN1"
"nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)","2/7",0.000784613660254309,0.0366153041452011,0,0,65.1508196721311,465.849151186,"ZFP36;ZFP36L1"
"histone H3-K9 methylation (GO:0051567)","2/7",0.000784613660254309,0.0366153041452011,0,0,65.1508196721311,465.849151186,"SETDB1;PRDM5"
"miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280)","2/7",0.000784613660254309,0.0366153041452011,0,0,65.1508196721311,465.849151186,"AGO4;AGO2"
"gene silencing by miRNA (GO:0035195)","3/32",0.00101172255796485,0.0443943737723182,0,0,16.9680820746651,117.013606030944,"ZFP36;AGO4;AGO2"
"RNA secondary structure unwinding (GO:0010501)","2/8",0.00104190877220747,0.0443943737723182,0,0,54.2896174863388,372.790564719257,"AGO4;AGO2"
"small RNA loading onto RISC (GO:0070922)","2/9",0.00133416631015617,0.0523411518710811,0,0,46.5316159250585,308.013643100497,"AGO4;AGO2"
"negative regulation of macromolecule metabolic process (GO:0010605)","6/194",0.00133523346609901,0.0523411518710811,0,0,5.32491886043996,35.2437695374263,"SDCBP;SETDB1;AGO4;ID2;AGO2;PSEN1"
"regulation of epithelial cell apoptotic process (GO:1904035)","2/10",0.00166094990874601,0.0626050350219648,0,0,40.7131147540984,260.578819389044,"ZFP36;ZFP36L1"
"substantia nigra development (GO:0021762)","3/43",0.00239553761177586,0.0845729403569687,0,0,12.2950413223141,74.1900940961841,"PADI2;MBP;CALM2"
"positive regulation of T-helper 1 type immune response (GO:0002827)","2/12",0.00241636972448482,0.0845729403569687,0,0,32.5672131147541,196.233383698395,"SLC11A1;IL18"
"positive regulation of mRNA catabolic process (GO:0061014)","3/44",0.00255928145834683,0.0864860630751687,0,0,11.9945575488813,71.5838641779706,"ZFP36;AGO2;ZFP36L1"
"positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)","2/13",0.00284415301693964,0.0919028848088861,0,0,29.6050670640835,173.559408578232,"ZFP36;AGO2"
"positive regulation of smooth muscle cell proliferation (GO:0048661)","3/46",0.00290713207048517,0.0919028848088861,0,0,11.4355179704017,66.7901516224742,"P2RY6;ID2;IL18"
"pre-miRNA processing (GO:0031054)","2/14",0.00330475645952536,0.101208166572964,0,0,27.1366120218579,155.014978904628,"AGO4;AGO2"
"iron ion transport (GO:0006826)","3/50",0.00368675155455375,0.108196397808345,0,0,10.4601723228416,58.6084453795027,"ATP6V0E1;TFRC;SLC11A1"
"regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)","2/15",0.00379776330812835,0.108196397808345,0,0,25.0479192938209,139.600645376957,"ZFP36;AGO2"
"positive regulation of fat cell differentiation (GO:0045600)","3/51",0.00389962540375969,0.108196397808345,0,0,10.2417355371901,56.8096245626343,"ZFP36;ID2;ZFP36L1"
"negative regulation of gene expression (GO:0010629)","7/322",0.0039745615521433,0.108196397808345,0,0,3.71528964862298,20.5375298457977,"ZFP36;SETDB1;AGO4;SLC11A1;ID2;AGO2;PSEN1"
"3'-UTR-mediated mRNA destabilization (GO:0061158)","2/16",0.00432276064941746,0.111481722011292,0,0,23.2576112412178,126.611203756924,"ZFP36;ZFP36L1"
"cellular response to corticosteroid stimulus (GO:0071384)","2/16",0.00432276064941746,0.111481722011292,0,0,23.2576112412178,126.611203756924,"ZFP36;ZFP36L1"
"RNA interference (GO:0016246)","2/17",0.00487933937346942,0.122609040666667,0,0,21.7060109289617,115.535570748507,"AGO4;AGO2"
"cellular response to peptide (GO:1901653)","3/57",0.00533364770229465,0.124598889693768,0,0,9.1010101010101,47.6321377027635,"MDM2;PSEN1;ZFP36L1"
"regulation of B cell differentiation (GO:0045577)","2/18",0.00546709413962453,0.124598889693768,0,0,20.3483606557377,105.994774248509,"ID2;ZFP36L1"
"cellular response to glucocorticoid stimulus (GO:0071385)","2/18",0.00546709413962453,0.124598889693768,0,0,20.3483606557377,105.994774248509,"ZFP36;ZFP36L1"
"intracellular estrogen receptor signaling pathway (GO:0030520)","2/18",0.00546709413962453,0.124598889693768,0,0,20.3483606557377,105.994774248509,"RBFOX2;PADI2"
"positive regulation of protein metabolic process (GO:0051247)","4/115",0.00573223198560649,0.127672439679417,0,0,5.93543543543544,30.6366420829907,"RAB1A;SLC25A37;IL18;PSEN1"
"response to organic cyclic compound (GO:0014070)","3/60",0.00615451162045983,0.134031586401125,0,0,8.62070465419748,43.8842993647195,"GLDC;IL18;SPP1"
"post-transcriptional gene silencing by RNA (GO:0035194)","2/20",0.00673452910886872,0.140422096312582,0,0,18.0856102003643,90.4372274339782,"AGO4;AGO2"
"production of small RNA involved in gene silencing by RNA (GO:0070918)","2/20",0.00673452910886872,0.140422096312582,0,0,18.0856102003643,90.4372274339782,"AGO4;AGO2"
"vacuolar acidification (GO:0007035)","2/21",0.00741341721331565,0.151357268105195,0,0,17.1328731665229,84.0275559539848,"ATP6V0E1;SLC11A1"
"negative regulation of myeloid cell differentiation (GO:0045638)","2/22",0.00812189710512584,0.154709210259233,0,0,16.2754098360656,78.3366645824186,"ZFP36;ZFP36L1"
"positive regulation of calcium ion transmembrane transporter activity (GO:1901021)","2/22",0.00812189710512584,0.154709210259233,0,0,16.2754098360656,78.3366645824186,"P2RY6;CALM2"
"regulation of vacuole organization (GO:0044088)","2/22",0.00812189710512584,0.154709210259233,0,0,16.2754098360656,78.3366645824186,"ANXA2;ENO1"
"regulation of macromolecule metabolic process (GO:0060255)","5/200",0.0082090601362042,0.154709210259233,0,0,4.24068088773971,20.365941376435,"HNRNPDL;PRDM5;PSEN1;TRIM38;ZFP36L1"
"glucose 6-phosphate metabolic process (GO:0051156)","2/23",0.0088595818473313,0.163818683214805,0,0,15.4996096799375,73.255118768691,"GPI;HK3"
"RNA metabolic process (GO:0016070)","4/133",0.009489238465655,0.168456541634391,0,0,5.10258397932817,23.7657794035029,"HNRNPA3;RBFOX2;AGO4;AGO2"
"regulation of keratinocyte proliferation (GO:0010837)","2/24",0.00962608809339376,0.168456541634391,0,0,14.7943368107303,68.6942239125309,"ZFP36;ZFP36L1"
"protein kinase B signaling (GO:0043491)","2/24",0.00962608809339376,0.168456541634391,0,0,14.7943368107303,68.6942239125309,"PLK3;ZFP36L1"
