"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"copper ion homeostasis (GO:0055070)","4/17",5.14767705170231e-05,0.068461855778269,0,0,24.485111662531,241.775294693959,"ARF1;SLC31A1;XIAP;COMMD1"
"cytoplasmic translational initiation (GO:0002183)","4/19",8.21871017746326e-05,0.068461855778269,0,0,21.2182795698925,199.590005232606,"EIF4A1;EIF3M;EIF2S2;EIF4B"
"negative regulation of apoptotic signaling pathway (GO:2001234)","6/78",0.000453846340048147,0.156945977968456,0,0,6.66531165311653,51.3079152769468,"OPA1;PLAUR;BCL2;HTT;RIPK1;TGFBR1"
"endocytic recycling (GO:0032456)","5/52",0.000489326210862886,0.156945977968456,0,0,8.48522697906797,64.6784830664614,"EHD4;EIPR1;DENND1A;VPS53;RAB7A"
"signal transduction in response to DNA damage (GO:0042770)","5/52",0.000489326210862886,0.156945977968456,0,0,8.48522697906797,64.6784830664614,"MAP3K20;GRB2;MDM4;TP53BP1;ATR"
"ribosome biogenesis (GO:0042254)","9/192",0.000759966320608892,0.156945977968456,0,0,3.95972475207448,28.4396794093095,"UTP15;LSG1;NOP58;UTP4;HEATR1;DDX31;HEATR3;UTP20;MDN1"
"cytoskeleton organization (GO:0007010)","7/120",0.000824376350784915,0.156945977968456,0,0,4.9646017699115,35.2530582754073,"FMNL2;DPYSL2;PACSIN2;MICAL2;NEDD9;LARP4;SYNE3"
"tRNA export from nucleus (GO:0006409)","4/34",0.000847847419997663,0.156945977968456,0,0,10.6010752688172,74.9793897685626,"NUP210;XPOT;NUP153;NUP98"
"tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)","4/34",0.000847847419997663,0.156945977968456,0,0,10.6010752688172,74.9793897685626,"NUP210;XPOT;NUP153;NUP98"
"tRNA transport (GO:0051031)","4/37",0.00117228099336851,0.191094390360252,0,0,9.63587487781036,65.0306295807338,"NUP210;XPOT;NUP153;NUP98"
"ncRNA export from nucleus (GO:0097064)","4/38",0.00129736559395546,0.191094390360252,0,0,9.35199240986717,62.1666170530152,"NUP210;XPOT;NUP153;NUP98"
