,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
ELK3,ELK3_supp,0.08463768115942029,3.1022792969489843,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('CREM', 0.4342061697197364), ('EGR3', 0.71367470905442), ('PROX1', 1.100303440541636)]",45
IRF2,IRF2_supp,0.0803921568627451,3.4496336446330833,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('PDE6D', 1.8732247923893128), ('NPC1', 1.3668075829030075), ('SP4', 1.4791855669635712), ('IRF2', 1.0), ('GSN', 1.7987694150292843)]",67
JUN,JUN_supp,0.06266666666666666,3.100575086674494,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('WARS2-AS1', 0.8905409290974831), ('TPT1', 0.5787762649205054), ('BAG3', 0.414720191914643)]",22
JUNB,JUNB_supp,0.07111111111111111,3.098648240766363,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('SNTB1', 1.667126246022945), ('CXCL14', 1.6224199495645513), ('FOS', 0.8576306840759924), ('JUNB', 1.0)]",56
MNT,MNT_supp,0.105,4.188476847983877,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('ETV7', 0.789790068674225), ('ZKSCAN5', 0.4328186566950856), ('ZBTB7A', 0.3821692065572127), ('ZNF354A', 0.4043800716206571)]",36
NEUROD1,NEUROD1_supp,0.12714285714285714,3.419182962479851,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('CEBPG', 0.8835067498582183), ('NEUROD2', 0.3928519943498391), ('ZNF189', 0.5837481759675508), ('ZNF682', 0.4427050805986057)]",45
NFKB2,NFKB2_supp,0.0825,3.3472649763036424,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('ESR2', 1.4116029543233488), ('SULF1', 0.5654835326793345)]",34
SATB1,SATB1_supp,0.06024691358024691,3.194663301612179,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('ANKRD7', 0.3875317334009868), ('CA3', 1.8940791900057976), ('PAIP2B', 1.2849093333315138), ('COL28A1', 0.3572038924498684), ('SPON1', 0.629368020704247), ('IFNG-AS1', 2.9314352109052897)]",41
SIX4,SIX4_supp,0.14933333333333335,3.819945744618968,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('SLC2A9', 0.3611514642559602)]",55
SRF,SRF_supp,0.10416666666666667,3.18349136974649,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('LANCL1-AS1', 0.4782888487071933)]",22
TP53,TP53_supp,0.10416666666666667,4.367071262969509,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('ABCG1', 0.357058153079941), ('TLR4', 0.924387226288595)]",44
ATF7,ATF7_supp,0.10952380952380952,3.5513463845330526,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('TFCP2', 1.1240670461563391)]",34
E2F4,E2F4_supp,0.15066666666666667,3.2897027264937933,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('NFYB', 2.3177913272211192)]",45
IRF2,IRF2_supp,0.1607843137254902,5.059069747064775,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('SP4', 1.4791855669635712), ('IRF2', 1.0), ('PACS2', 2.495988160515747)]",45
MNT,MNT_supp,0.14,3.3150927201521494,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('MNT', 1.0)]",33
NR1D1,NR1D1_supp,0.32,7.398303349968111,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('NR1D1', 1.0)]",21
NR6A1,NR6A1_supp,0.12133333333333333,3.991016958333627,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('FTCDNL1', 1.8372981120235723), ('MTERF1', 1.0625893637762502), ('NR6A1', 1.0), ('ZNRF2', 1.4783379260768457)]",94
TCF7,TCF7_supp,0.14666666666666667,4.131860125137917,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('TCF7', 1.0)]",21
TP53,TP53_supp,0.20833333333333334,5.017310616751562,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('TLR4', 0.924387226288595)]",44
ZBTB32,ZBTB32_supp,0.14222222222222222,3.221530827664835,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('THRA', 1.084258250191903), ('ZNF324', 0.937378033225118), ('ZNF460', 1.3275889724628966)]",58
ZEB1,ZEB1_supp,0.03915584415584416,3.4305790040131856,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('LINC02389', 1.8561460104858851), ('POU6F2', 3.521328167204238), ('LINC02296', 0.8521427373695418), ('CADM2', 1.1980085338949524), ('LINC02398', 1.369569758581613), ('BMPER', 1.796690849723754), ('SYNPO2', 4.313340183319768), ('LINC02232', 1.0393472044218015), ('HCN1', 5.857231755316396), ('ZBBX', 4.653231752235065), ('OSMR', 1.4952383961147242), ('RALYL', 1.0019971486583326), ('MEF2C', 1.531536655959286), ('ZNF521', 1.2821202608928788), ('ABCA6', 3.370583863847047), ('SHROOM3', 1.1221192375249118)]",38
ZIC1,ZIC1_supp,0.045641025641025644,3.4096690297765693,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('RNF220', 1.1142609587359555), ('EBF1', 3.2228613810213487), ('ETV6', 1.0107429868420523), ('SLC1A3', 0.908270953074928), ('PLSCR4', 1.7198399028967932), ('SP100', 1.032427870840561), ('SPATA22', 2.0752267139577825), ('PLCE1', 1.602296308551572), ('INSIG1', 0.9330799378821394), ('CD38', 1.9748587261470785), ('TCF7L2', 1.6026056462745786), ('WDR49', 2.789102640041613), ('WIPF1', 0.9992510543975868), ('TANC1', 0.9325608542860166), ('ZIC1', 1.0), ('ZBTB20', 1.7191456861547705), ('ABCA8', 1.5988128664359462), ('LURAP1L-AS1', 1.9690418002668288)]",54
ZNF85,ZNF85_supp,0.13555555555555557,3.9764924413206093,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('HINFP', 0.9950891492283188)]",34
BARX2,BARX2_supp,0.0572093023255814,3.064482852859791,0.0,1.0,placeholder,"frozenset({'top50', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('ETV5', 0.2402417454413646), ('PLAGL1', 1.2110845586680592), ('MID1', 0.1527846778010114)]",26
CAMTA2,CAMTA2_supp,0.11286821705426357,3.1771962217390537,0.0,1.0,placeholder,"frozenset({'top50', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('ZNF76', 0.1681347263083987), ('CTCF', 0.2445271835939496), ('ZNF263', 0.2195424815673849), ('ZNF460', 0.2838971994325257), ('ZNF707', 0.6650694343140597), ('ZNF701', 0.2318063546424115), ('ZNF549', 0.2297925517421321)]",45
ELK3,ELK3_supp,0.062127659574468086,3.30953782081147,0.0,1.0,placeholder,"frozenset({'top50', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('PLCXD1', 0.3260421905683361), ('EGR3', 0.71367470905442), ('DAP', 0.4033511801692671), ('ZNF418', 0.3062695003770989)]",45
IRF2,IRF2_supp,0.07454545454545454,3.601154366889117,0.0,1.0,placeholder,"frozenset({'top50', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('NPC1', 1.3668075829030075), ('IRF2', 1.0), ('SP4', 1.4791855669635712), ('GSN', 1.7987694150292843), ('SH3BGRL', 0.2502055319995377), ('PDE6D', 1.8732247923893128)]",67
MNT,MNT_supp,0.08936170212765958,3.514416383805081,0.0,1.0,placeholder,"frozenset({'top50', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('AVEN', 0.4335888296251722), ('ZNF281', 0.1239501935065839), ('ZFP14', 0.1139818389069809), ('SHOC1', 0.1054995181974722), ('GPM6B', 0.5008970935794987)]",37
SREBF2,SREBF2_supp,0.07361111111111111,3.3693333155688787,0.0,1.0,placeholder,"frozenset({'top50', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('STXBP3', 1.115003759198001), ('SEPTIN4', 0.6043615313125967), ('LINC01135', 1.0799908209101652), ('CREB3L2', 1.5852420474904174), ('CNDP1', 1.4062844883731396), ('PLA2G4C', 0.6302644595293753), ('ZNF263', 0.4886149659670997)]",76
ZSCAN29,ZSCAN29_supp,0.07789473684210527,4.228841311380883,0.0,1.0,placeholder,"frozenset({'top50', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('ZBTB14', 0.6171387567803057), ('MTF1', 0.3440856928109274), ('BBOX1', 0.0649171231605981), ('CBR1', 0.2308200569745674), ('ZNF701', 0.1981243021163412)]",49
CREB1,CREB1_supp,0.1123076923076923,3.433728104146891,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('HSPH1', 0.8525680340810097), ('LINC01135', 0.3071029394335846)]",44
GRHL1,GRHL1_supp,0.11333333333333333,3.1730480213570043,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('ZKSCAN5', 1.5458976288135793)]",26
IRF2,IRF2_supp,0.13666666666666666,4.900735397517578,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('SP4', 1.4791855669635712), ('IRF2', 1.0), ('PACS2', 2.495988160515747)]",45
JUN,JUN_supp,0.14461538461538462,4.903316569993523,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('NR1D1', 0.8280562091187597), ('ZNF76', 0.5777491745782533)]",21
JUND,JUND_supp,0.057777777777777775,3.812858879987364,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('ZNF24', 1.091927503234032), ('ABCG1', 0.8496868507247068), ('ZGRF1', 0.585368363979336), ('PLA2G4C', 0.9144476772168336), ('TMSB4X', 3.241916698598853), ('DSE', 1.1710763164600058), ('LINC00174', 0.7021369628455723)]",76
MNT,MNT_supp,0.14,3.916232565411327,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('MNT', 1.0)]",33
