,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
ETV4,ETV4_supp,0.11125,4.761236073989928,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>75.0%'})","[('ARID3B', 0.6226727183002668), ('RPS19', 1.0100464423641489)]",54
ZNF189,ZNF189_supp,0.0832,3.680040538433717,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>75.0%'})","[('GABPA', 0.4227208243612899), ('GRHL2', 1.5812513075570258), ('MND1', 0.5726775103300438)]",37
ESRRB,ESRRB_supp,0.136,3.9269567889295023,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('MEF2D', 1.1473865589051362)]",19
HES6,HES6_supp,0.13066666666666665,3.279046083357661,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('FERMT1', 1.0501281796171356)]",29
IRF2,IRF2_supp,0.18,3.2883935509883155,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('IRF2', 1.0)]",45
NFKB1,NFKB1_supp,0.07163120567375887,3.7519718383929233,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('MAL', 2.334851467702748), ('LATS2', 1.0746284656635503), ('CD55', 1.1454912688220238), ('HSPA2', 1.6898676725949902), ('CYREN', 3.138770833531357)]",48
NR1D1,NR1D1_supp,0.10888888888888888,3.1029698949934876,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('NR1D1', 1.0)]",19
NRL,NRL_supp,0.19333333333333333,3.7232994467929568,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('FOS', 1.022230941064018)]",29
POU3F3,POU3F3_supp,0.09333333333333334,3.213409935273686,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('OMG', 0.9873878414686924)]",30
SREBF1,SREBF1_supp,0.05983739837398374,3.2440025215052932,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('NFATC1', 0.8793181672498809), ('CHDH', 3.9499392871247454), ('EDNRB', 4.143270945924947)]",29
SREBF2,SREBF2_supp,0.11444444444444445,3.3515823623481737,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('SREBF2', 1.0), ('ZKSCAN1', 1.5741162069405672)]",61
SRF,SRF_supp,0.09185185185185185,3.2396974632377353,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('LINC00378', 0.8491222407030529)]",27
TP53,TP53_supp,0.20833333333333334,6.1783075469448345,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('CPB1', 1.842882260794167)]",70
ZIC1,ZIC1_supp,0.044866920152091254,3.023304219708229,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('SCD', 1.3822999655048345), ('FAM124A', 3.2718324797737184), ('TCF12', 2.503873690992549), ('KIAA1755', 0.8573433109051314), ('THSD7B', 1.551592391353959), ('CD55', 1.206305337070096), ('PHLDB1', 3.4131763305998244), ('CCDC122', 3.3176090100589493), ('SLC35D2', 1.1398270934248704), ('LINC00609', 2.3622866652858026), ('PTGDS', 1.179955301274164), ('LINC01608', 3.3840525197730407), ('ASPA', 2.8978185222827464), ('LPAR1', 3.4547655602510647), ('SLAIN1', 2.600241027118676), ('USP54', 1.3870817835882974), ('RNF152', 2.170239409690997), ('RYBP', 3.185124155628947), ('YPEL2', 0.9166350208273508), ('CNP', 2.0048590409865006), ('QKI', 1.0520917878112197)]",46
ZNF189,ZNF189_supp,0.14857142857142858,4.466630244072527,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('ZEB1-AS1', 1.1839836971079123), ('ZNF189', 1.0)]",32
ZNF382,ZNF382_supp,0.22666666666666666,3.9769924414999753,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('KLF16', 4.278943401470939), ('PIF1', 0.877555780849437)]",38
AR,AR_supp,0.06195121951219512,3.365149792752323,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top50'})","[('SLC38A11', 0.3810840351050593), ('FAP', 0.5520458471348675), ('LINC01117', 0.5210165128130894)]",22
ETV4,ETV4_supp,0.0791111111111111,3.262917183221185,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top50'})","[('ARID3B', 0.6226727183002668), ('MAZ', 0.1397641593136328), ('PRDM1', 0.2186701971111557), ('RPS18', 0.2701735033322451), ('SCLY', 0.1236281604399135), ('RPS19', 1.0100464423641489), ('ZFY', 0.201782333423437)]",62
MITF,MITF_supp,0.08,3.968238658245972,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top50'})","[('PIGF', 2.7360906052988403), ('CARD8', 4.499888959424004), ('CGGBP1', 3.644577372367957), ('CYREN', 3.4195383636681336), ('MYO1E', 1.9894564871800064)]",60
NFKB1,NFKB1_supp,0.07651515151515151,3.8993781664474554,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top50'})","[('CD22', 2.0028656064011976), ('SH3TC2-DT', 3.158655369385193), ('MITF', 2.81571798674585)]",9
TCF12,TCF12_supp,0.09224489795918367,4.288142278837047,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top50'})","[('TMEM165', 2.9790026455025758), ('TF', 3.0162627194222145), ('CTNNA3', 3.040850337756816), ('ELMO1', 3.535399101074877)]",19
ESRRB,ESRRB_supp,0.09714285714285714,3.168696802404046,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('MEF2D', 1.1473865589051362)]",19
HES6,HES6_supp,0.13066666666666665,3.2241751599450184,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('FERMT1', 1.0501281796171356)]",29
NFKB1,NFKB1_supp,0.08416666666666667,4.265616449402816,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('MITF', 2.81571798674585), ('CD22', 2.0028656064011976), ('SH3TC2-DT', 3.158655369385193)]",9
NRL,NRL_supp,0.19333333333333333,3.7232994467929568,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('FOS', 1.022230941064018)]",29
REST,REST_supp,0.09636363636363636,3.015135306258312,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('REST', 1.0), ('RXRA', 0.8362528099128262)]",27
SREBF2,SREBF2_supp,0.0980952380952381,3.0511173727350736,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('SREBF2', 1.0), ('ZKSCAN1', 1.5741162069405672)]",61
TP53,TP53_supp,0.11904761904761904,3.6209998881781993,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('NFIL3', 1.1896619598272191), ('TCF3', 0.4042465117536935)]",29
ZNF189,ZNF189_supp,0.11555555555555555,3.194739064620712,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('LINC01135', 0.7193174403920204), ('RPLP2', 0.6715985535889768)]",73
ATF6,ATF6_supp,0.06944444444444445,3.0147572432374767,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top10perTarget'})","[('SUSD6', 0.4414052576203506), ('GTF2F2', 0.6177068908878733)]",24
POU3F3,POU3F3_supp,0.06,3.0347586385232406,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top10perTarget'})","[('GOLGA7', 0.4283184294635816), ('ZNF189', 0.6899408246660811)]",14
ZNF382,ZNF382_supp,0.119,3.071312655419312,0.0,1.0,placeholder,"frozenset({'activating', 'pd_supp.genes_vs_tracks.rankings', 'top10perTarget'})","[('LANCL1-AS1', 1.245990857534059), ('CTCF', 0.4765431717119968), ('SUSD6', 0.4962625389798205)]",24
