,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
RREB1,RREB1_supp,0.0653061224489796,3.5733584895252766,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>75.0%'})","[('RUNX1', 0.5745468613277155), ('NPY', 0.3920006840216014), ('RBM47', 0.4628602457039332), ('SNTB1', 1.2176224767995212), ('BNC2', 2.2106990800813726), ('BMP2K', 0.6396941360198815), ('TCF7L2', 0.8585914815589261), ('DOCK2', 0.3715240215432014), ('ARHGAP24', 1.0747627696036677), ('LINC00278', 0.5999091312981262), ('FOXO1', 0.8144128401313181), ('RREB1', 1.0), ('LYN', 0.4926880279248996), ('TGFBR1', 1.3311557077637477), ('PARD3B', 0.3887709473236856)]",85
TCF12,TCF12_supp,0.044935672514619884,3.079680369263302,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>75.0%'})","[('SCD', 2.1043719338700164), ('TCF12', 1.0), ('KIF13B', 1.9468509973623636), ('CAPN3', 0.9713185326954747), ('SYNJ2', 1.7752402628957649), ('ASPA', 2.305503962835924), ('SLAIN1', 1.430833645245158), ('LINC00609', 0.8618163373914144), ('FAM124A', 1.23492525607495), ('CCDC122', 0.461660923840441), ('MYRF', 0.6491935337610852), ('GATM', 1.0441023565334002), ('KCND2', 0.3411946523403569), ('RYBP', 1.5562846853222505), ('ALCAM', 2.410020285341561), ('GNAI1', 0.4365383344606915), ('QKI', 2.080704002323701), ('LPAR1', 2.41087659176179), ('MET', 1.2562325164962933), ('CNP', 2.7558011051594677), ('SLC35D2', 1.1058364516206554), ('LINC01608', 1.0457061579501823)]",46
TCF7,TCF7_supp,0.0925,3.27033717805791,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>75.0%'})","[('FOSL2', 0.6276532347477403), ('TCF7', 1.0)]",19
RREB1,RREB1_supp,0.11946666666666667,3.9720689344730293,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('CSF1R', 1.019168519511568), ('DISP1', 0.9830055760082804), ('SNTB1', 1.2176224767995212), ('RREB1', 1.0), ('PARP14', 1.300095453213401)]",35
SIX4,SIX4_supp,0.19,5.567684200653832,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('GNG7', 0.9143542604924888)]",61
SRF,SRF_supp,0.16533333333333333,4.915759320158419,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('HSDL2', 0.8820540772253037)]",21
TCF12,TCF12_supp,0.06391919191919192,4.092896814494296,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('SYNJ2', 1.7752402628957649), ('CNP', 2.7558011051594677), ('SLC35D2', 1.1058364516206554), ('GATM', 1.0441023565334002), ('SCD', 2.1043719338700164), ('CAPN3', 0.9713185326954747), ('KIF13B', 1.9468509973623636), ('RYBP', 1.5562846853222505), ('LINC00609', 0.8618163373914144), ('TCF12', 1.0), ('MET', 1.2562325164962933), ('SLAIN1', 1.430833645245158), ('QKI', 2.080704002323701), ('LPAR1', 2.41087659176179), ('LINC01608', 1.0457061579501823), ('ALCAM', 2.410020285341561), ('FAM124A', 1.23492525607495), ('ASPA', 2.305503962835924)]",46
TCF7,TCF7_supp,0.37,7.980821970805099,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('TCF7', 1.0)]",19
TFAP4,TFAP4_supp,0.2577777777777778,5.026636835524577,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('TFAP4', 1.0)]",61
ZNF143,ZNF143_supp,0.07481481481481482,3.0880814206021396,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('ZNF143', 1.0)]",19
ZNF417,ZNF417_supp,0.156,3.4715081174045244,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('ZNF76', 1.117090266977523)]",19
BHLHE40,BHLHE40_supp,0.059710144927536235,3.1800505752001196,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top50'})","[('AIDA', 0.1488529505433857), ('PODXL', 0.1447208713790839), ('YAP1', 0.1670005237133842), ('USP6NL', 0.1621532408099447)]",40
RREB1,RREB1_supp,0.09078014184397164,3.6241435389582817,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top50'})","[('PARP14', 1.300095453213401), ('CSF1R', 1.019168519511568), ('RREB1', 1.0), ('DISP1', 0.9830055760082804), ('SNTB1', 1.2176224767995212)]",35
TCF12,TCF12_supp,0.0856060606060606,3.866043681435238,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top50'})","[('EPCAM-DT', 3.021303259775022), ('ANLN', 2.1070277348145363), ('CREB5', 2.98606063957798), ('QKI', 2.080704002323701)]",13
ZBTB18,ZBTB18_supp,0.07346938775510205,3.081492032663064,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top50'})","[('NR2F1', 1.4333447699212718), ('NR2F6', 1.4851625676902551), ('CCDC26', 0.6873190078262531), ('CHST15', 1.0095676866998142), ('PATZ1', 0.7098443495568111), ('PIGC', 0.7714219901046839), ('E2F6', 2.051017895534264), ('NELL1', 1.1745335098578993), ('RPL13A', 0.7005300252903756)]",90
ZNF708,ZNF708_supp,0.06060606060606061,3.375818351940204,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top50'})","[('ZNF708', 1.0), ('POC1B', 0.8277581771669065), ('CREB5', 0.9312497733898424)]",23
HSF4,HSF4_supp,0.10444444444444445,3.4075575373718343,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'pd_supp.genes_vs_tracks.rankings'})","[('ASCL1', 0.6965910844348097), ('ZNF335', 1.066222999687551)]",25
IRF2,IRF2_supp,0.09,3.6590224976596315,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'pd_supp.genes_vs_tracks.rankings'})","[('DICER1', 1.3467406137020712), ('MOB4', 1.0888751967452936)]",44
MXI1,MXI1_supp,0.11333333333333333,3.074953206277508,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'pd_supp.genes_vs_tracks.rankings'})","[('PTGDS', 1.2150739428872146), ('RBPJ', 0.8486532565983733), ('SLC22A23', 0.812057331810276), ('ZBTB37', 0.789981293240828)]",79
SRF,SRF_supp,0.1180952380952381,3.888813565618052,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'pd_supp.genes_vs_tracks.rankings'})","[('HSDL2', 0.8820540772253037)]",21
TCF12,TCF12_supp,0.060081799591002044,3.7241082583036156,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'pd_supp.genes_vs_tracks.rankings'})","[('SLC35D2', 1.1058364516206554), ('SLAIN1', 1.430833645245158), ('CNP', 2.7558011051594677), ('SCD', 2.1043719338700164), ('MYRF', 0.6491935337610852), ('CAPN3', 0.9713185326954747), ('RYBP', 1.5562846853222505), ('KIF13B', 1.9468509973623636), ('SYNJ2', 1.7752402628957649), ('LINC00609', 0.8618163373914144), ('ASPA', 2.305503962835924), ('FAM124A', 1.23492525607495), ('LPAR1', 2.41087659176179), ('MET', 1.2562325164962933), ('ALCAM', 2.410020285341561), ('LINC01608', 1.0457061579501823), ('QKI', 2.080704002323701), ('TCF12', 1.0)]",46
TFAP4,TFAP4_supp,0.2577777777777778,5.026636835524577,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'pd_supp.genes_vs_tracks.rankings'})","[('TFAP4', 1.0)]",61
ZBTB18,ZBTB18_supp,0.08,3.062422439069552,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'pd_supp.genes_vs_tracks.rankings'})","[('MAX', 1.294280709016277), ('PATZ1', 0.7098443495568111), ('MCTP2', 1.0334556103111836), ('E2F6', 2.051017895534264), ('ZNF449', 0.7057980095350325)]",41
ZNF708,ZNF708_supp,0.07142857142857142,3.5375508496616996,0.0,1.0,placeholder,"frozenset({'top5perTarget', 'activating', 'pd_supp.genes_vs_tracks.rankings'})","[('TRPC4AP', 1.3501948954551677), ('DGKH', 1.3678330505064813), ('RCBTB1', 0.912064378800374)]",40
POU3F4,POU3F4_supp,0.06909090909090909,3.0321633650115896,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top10perTarget'})","[('CHDH', 1.613550160537404), ('FOS', 0.9295478496185368)]",29
RREB1,RREB1_supp,0.07485380116959064,3.180277518008377,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top10perTarget'})","[('PARP14', 1.300095453213401), ('TFEC', 0.4972868671830034), ('CSF1R', 1.019168519511568), ('RREB1', 1.0), ('DISP1', 0.9830055760082804), ('SNTB1', 1.2176224767995212)]",35
TCF12,TCF12_supp,0.04726797385620915,3.2178929516423342,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top10perTarget'})","[('SLC35D2', 1.1058364516206554), ('GATM', 1.0441023565334002), ('CAPN3', 0.9713185326954747), ('TCF12', 1.0), ('GNAI1', 0.4365383344606915), ('CNP', 2.7558011051594677), ('LINC00609', 0.8618163373914144), ('KCND2', 0.3411946523403569), ('SCD', 2.1043719338700164), ('MYRF', 0.6491935337610852), ('RYBP', 1.5562846853222505), ('ASPA', 2.305503962835924), ('SYNJ2', 1.7752402628957649), ('KIF13B', 1.9468509973623636), ('QKI', 2.080704002323701), ('MET', 1.2562325164962933), ('ALCAM', 2.410020285341561), ('SLAIN1', 1.430833645245158), ('LPAR1', 2.41087659176179), ('FAM124A', 1.23492525607495), ('LINC01608', 1.0457061579501823)]",46
TCF7,TCF7_supp,0.10571428571428572,4.1785163498035915,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top10perTarget'})","[('FOSL2', 0.6276532347477403), ('TCF7', 1.0)]",19
ZNF708,ZNF708_supp,0.06472491909385113,4.1636522217103344,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top10perTarget'})","[('SLAIN1', 0.2956073300159033), ('QKI', 0.6378520660891349), ('SPATA13', 0.4918291471228923), ('CNP', 1.3823099174670912), ('CD55', 0.9063097128516984), ('PHLDB1', 0.4478652507503783), ('LINC01608', 0.4979723258082374), ('GPM6B', 0.5162782187419452), ('PCDH9', 0.1926870433415178), ('MOB3B', 1.4530278979829248), ('SYNJ2', 0.6968051323033813)]",46
