,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
CEBPG,CEBPG_supp,0.10333333333333333,3.2358258268435467,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('ACTB', 0.3444529515949586), ('UBA52', 1.0402648352262354), ('ZFY', 0.587600823713764)]",56
ELK1,ELK1_supp,0.09513513513513513,3.389286887895209,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('RNH1', 1.014830797482269), ('THRA', 0.4873458993157769), ('RPLP1', 0.3454509518210087), ('HAVCR2', 0.4036860492547202), ('ZNF93', 0.4656573024133378), ('COPS9', 0.5100908783328773)]",61
FOS,FOS_supp,0.07708333333333334,3.0534582765686635,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('HES1', 0.8529187085786776), ('ARRDC4', 0.6726156459810603), ('CD109', 0.6234343178910221), ('SNTB1', 0.6065827438004485)]",35
FOSL2,FOSL2_supp,0.051650485436893205,3.1287168478518135,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('HPS3', 0.4311359698119045), ('RNASEK', 1.3972171933326325), ('PPP1R3C', 0.5127918202817611), ('CCNG2', 1.8023379781343205), ('TULP3', 0.3919740123059266), ('PODXL', 0.3561338139352253), ('PLS3-AS1', 0.6831937642778276), ('SHOC1', 0.664917052783089)]",38
NR4A2,NR4A2_supp,0.1019047619047619,3.2687448262643786,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('ATF3', 1.7763938326646818), ('ZNF320', 0.5081601697349546), ('ZNF610', 0.5232152263911741), ('BIRC3', 1.054359251407282), ('ZNF460', 0.3728754597753971)]",42
RREB1,RREB1_supp,0.044630404463040445,3.2269510498708756,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('LINC01821', 0.4062929311883245), ('PALD1', 0.5619212527354449), ('RORB', 0.7956777762669265), ('CABLES1', 0.5088545747222435), ('SLCO1C1', 0.7080388495575194), ('SYK', 0.8970102422225601), ('COL5A3', 3.974377612718437), ('BNC2', 1.5722027902545748), ('BMP2K', 1.615195728046618), ('SLC39A12', 0.7504037302377375), ('CST3', 0.5184945606912822), ('DENND3', 0.4044888842146148), ('CD44', 0.5940282477057145), ('ARHGAP24', 2.643552054433135), ('RBM47', 1.553676632063172), ('SLC1A3', 1.3837943300216275), ('ALDH1A1', 1.571991316739866), ('USP53', 2.3650730776421134), ('FAM107A', 1.276437995097467), ('RFX4', 1.1474769736860098), ('MERTK', 0.5759298871880274), ('ZFP36L1', 0.647056970774722), ('AOAH', 2.0080641844789566), ('ZNF98', 0.4654650490516658), ('RREB1', 1.0)]",85
SIX4,SIX4_supp,0.13818181818181818,4.191236610324322,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('EGR3', 0.5169658723218388), ('PRKD3', 0.3695894801315542)]",48
TFAP4,TFAP4_supp,0.09176470588235294,3.118254726865875,0.0,1.0,placeholder,"frozenset({'weight>75.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('CUBN', 0.59676741017805), ('TFAP4', 1.0), ('LINC01821', 1.0703102007274932)]",26
ESRRA,ESRRA_supp,0.15166666666666667,3.5885626799784958,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('GPR17', 1.4369981606868691)]",16
FOS,FOS_supp,0.12333333333333334,4.19226872209546,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('AHNAK', 0.9389452983712018), ('GFAP', 1.3496210758644736)]",64
GMEB1,GMEB1_supp,0.22666666666666666,3.294105707037232,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('HINFP', 1.034846922375148), ('ZNF324', 0.9801653604136138)]",37
JUN,JUN_supp,0.12,4.049073353440703,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('JUN', 1.0), ('KLF6', 1.762228491992334), ('MYL6', 1.3049681545629552)]",46
MTF1,MTF1_supp,0.25866666666666666,3.049920056932936,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('MTF1', 1.0), ('ZNF530', 0.9189584384396708)]",48
NR4A2,NR4A2_supp,0.11888888888888889,4.00311403132073,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('ATF3', 1.7763938326646818), ('BIRC3', 1.054359251407282), ('HESX1', 0.9479802386985792)]",62
RREB1,RREB1_supp,0.052825396825396824,3.243213099784294,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('MGST1', 0.9333114918847076), ('PLA2G4A', 1.406148888897061), ('STK3', 2.3481312319918604), ('BHLHE41', 1.7102299487349513), ('NFATC2', 2.1074604017220038), ('NEAT1', 0.8587422917719836), ('FYB1', 1.1142622249453762), ('P2RY12', 1.781141024750423), ('RFX4', 1.1474769736860098), ('ITPKB', 2.047018671050574), ('ZNF710', 1.3520790687043247), ('THRA', 1.0373259831830388)]",81
SOHLH2,SOHLH2_supp,0.15866666666666668,4.019958954261111,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('USF2', 0.9174694454025942)]",19
SOX15,SOX15_supp,0.13777777777777778,3.164572334980312,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('FOSL2', 1.361535542652151)]",19
SRF,SRF_supp,0.41333333333333333,7.016427731753618,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('MAFG', 1.91867498089524)]",37
ZNF76,ZNF76_supp,0.10333333333333333,3.0776565390745767,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('LPXN', 0.8464966410143361), ('SAV1', 1.4672057841961084), ('UBC', 1.001284284206676)]",65
ZSCAN29,ZSCAN29_supp,0.144,3.5692552024661506,0.0,1.0,placeholder,"frozenset({'activating', 'weight>90.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('EBF3', 0.9775888587044792)]",39
ATF2,ATF2_supp,0.061037037037037035,3.2471939822158378,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'rbd_supp.genes_vs_tracks.rankings'})","[('LINC01135', 1.2743737092434977), ('HSPH1', 0.3502023645425519), ('HLA-B', 0.4510889093322367), ('ENTPD3-AS1', 0.3156335742918181)]",46
ESRRA,ESRRA_supp,0.08465116279069768,3.7293393317090286,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'rbd_supp.genes_vs_tracks.rankings'})","[('AP1B1', 1.1394423687789117), ('MAZ', 0.1250647539336408), ('CAMK2G', 0.6941310674655002), ('LINC00507', 0.2605485131052468), ('TFRC', 0.4951339769740672), ('GRIN2C', 0.2304822537579024)]",58
FOSL2,FOSL2_supp,0.06468085106382979,3.120666258171873,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'rbd_supp.genes_vs_tracks.rankings'})","[('RPL18', 0.8241982396821574), ('RPL24', 1.5853716613291189), ('FOSL2', 1.0), ('NUP210L', 1.9048927537641), ('LINC01470', 0.8065825927743997), ('UBC', 4.113407357000398)]",64
MTF1,MTF1_supp,0.08818181818181818,3.0761271682308835,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'rbd_supp.genes_vs_tracks.rankings'})","[('USF2', 1.0580284638070254), ('ZNF530', 0.9189584384396708), ('ZNF257', 0.2396802875077276), ('ZNF140', 0.7330771981279427), ('PLAG1', 0.2822384174933427), ('INSIG1', 0.3072119573307348)]",52
MYB,MYB_supp,0.07407407407407407,3.304629597442178,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'rbd_supp.genes_vs_tracks.rankings'})","[('ATP11C', 0.0860842023695227), ('TSPAN14', 0.1796950670397232), ('PATZ1', 0.1143056726493848), ('SOX1-OT', 0.4500627330668718)]",29
RREB1,RREB1_supp,0.0783673469387755,3.7055327237660243,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'rbd_supp.genes_vs_tracks.rankings'})","[('ZNRF3', 1.5454853181683823), ('USP53', 2.3650730776421134), ('BNC2', 1.5722027902545748), ('PLIN5', 1.7394599333026215), ('IGFBP7', 2.352349176437977)]",51
ESRRA,ESRRA_supp,0.15166666666666667,3.5885626799784958,0.0,1.0,placeholder,"frozenset({'activating', 'top5perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('GPR17', 1.4369981606868691)]",16
MTF1,MTF1_supp,0.21555555555555556,3.708097802409282,0.0,1.0,placeholder,"frozenset({'activating', 'top5perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('PLAG1', 0.2822384174933427), ('USF2', 1.0580284638070254)]",35
NPAS2,NPAS2_supp,0.08235294117647059,3.190585629856551,0.0,1.0,placeholder,"frozenset({'activating', 'top5perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('MRTFB', 0.7816782954259478), ('NFIX', 0.4331621240888432), ('LINC01102', 0.8740531051961953), ('THSD7B', 0.9225355167133188), ('KCNN3', 1.2573209742901243), ('KALRN', 0.829182673188274), ('HIF1A', 2.9790225967718955), ('DOCK10', 1.0640774690063934), ('OCA2', 0.4902047289722391)]",78
SIX4,SIX4_supp,0.152,3.1433971140672177,0.0,1.0,placeholder,"frozenset({'activating', 'top5perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('EGR3', 0.5169658723218388)]",25
SOX15,SOX15_supp,0.1180952380952381,3.0101269639875516,0.0,1.0,placeholder,"frozenset({'activating', 'top5perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('FOSL2', 1.361535542652151)]",19
SRF,SRF_supp,0.27555555555555555,5.440210398395383,0.0,1.0,placeholder,"frozenset({'activating', 'top5perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('MAFG', 1.91867498089524)]",37
ARID3B,ARID3B_supp,0.13666666666666666,4.29339680248464,0.0,1.0,placeholder,"frozenset({'activating', 'top10perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('LINC01122', 0.0832263717117278), ('PLAG1', 0.2130386140639057), ('ZNF76', 0.4958255393347505)]",26
ATF2,ATF2_supp,0.07629629629629629,3.720411547841819,0.0,1.0,placeholder,"frozenset({'activating', 'top10perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('LINC01135', 1.2743737092434977), ('HLA-B', 0.4510889093322367)]",46
