,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
MAFK,MAFK_supp,0.09710144927536232,3.007604346094226,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>75.0%'})","[('NFATC1', 0.3990703359912846), ('PRKCH', 0.5177112017350396), ('MAFK', 1.0)]",30
NR1D1,NR1D1_supp,0.13714285714285715,5.639605959651461,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>75.0%'})","[('LINC01182', 0.3680953565854079), ('MLX', 0.4018443253257218)]",33
PKNOX1,PKNOX1_supp,0.07064516129032258,3.2928584508969734,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>75.0%'})","[('LINC01135', 1.7257937475892828), ('MSR1', 0.3837963235791221), ('EMP1', 0.8272778279927357), ('ZBTB37', 1.4634147944642382), ('THRA', 0.5791655322695161), ('KLF4', 2.294849447377852)]",44
ZNF136,ZNF136_supp,0.06388888888888888,3.748177405381673,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>75.0%'})","[('ABCB1', 0.4015105417202135), ('LINC01098', 0.3813186388322317), ('SEMA3E', 0.609246812059906)]",18
JDP2,JDP2_supp,0.09666666666666666,3.723776993662146,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('TAF3', 1.1840832085299715), ('EGR1', 0.9021696835884224), ('KCNS3', 3.3242417388299725), ('KLF16', 1.289590212526242)]",51
MZF1,MZF1_supp,0.132,3.367798739734537,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('CTCF', 1.0100117384065883), ('KATNAL2', 1.4177447690095537), ('SHOC1', 2.35370368216514)]",37
PKNOX1,PKNOX1_supp,0.11587301587301588,3.435074687396139,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('ZBTB37', 1.4634147944642382), ('EMP1', 0.8272778279927357), ('KLF4', 2.294849447377852), ('LINC01135', 1.7257937475892828)]",44
PRDM4,PRDM4_supp,0.07649122807017544,3.6474396801497604,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('LINC01949', 1.029131243978829), ('STEAP1B', 1.960679300338191)]",38
SOHLH2,SOHLH2_supp,0.13333333333333333,4.085041755934169,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('ZBTB14', 2.0503974174444988)]",29
SREBF2,SREBF2_supp,0.05283489096573209,3.8186138673015395,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('EBF2', 1.033953513360043), ('BTBD3', 1.1630540254701285), ('PLEKHB1', 2.117519717009159), ('LINC02199', 0.8238576324899608), ('SOX1-OT', 0.8890308064299093), ('TAFA4', 0.9256433010698876), ('DNAJB2', 1.0837217230665457), ('CCP110', 1.662342204994988)]",58
SRF,SRF_supp,0.16666666666666666,4.110746359288742,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('TMEM202-AS1', 0.8089362752544035)]",34
STAT5B,STAT5B_supp,0.0744,3.224213795702366,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('ZBTB37', 1.1494938004450312), ('SNAI3', 1.9155223243702184), ('GTF2F2', 1.143299906271528), ('MIPEP', 0.9390767493383646)]",63
XBP1,XBP1_supp,0.16533333333333333,3.1767737197847477,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('BAG3', 1.0371745144389235)]",22
YY1,YY1_supp,0.125,4.201288899249382,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'weight>90.0%'})","[('YY1', 1.0), ('CTCF', 2.341121428379518), ('MT1G', 1.4704634715078355)]",22
PKNOX1,PKNOX1_supp,0.0926984126984127,3.555935957273252,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'hc_supp.genes_vs_tracks.rankings'})","[('EMP1', 0.8272778279927357), ('ZBTB37', 1.4634147944642382), ('LINC01135', 1.7257937475892828), ('KLF4', 2.294849447377852), ('THRA', 0.5791655322695161)]",44
RELA,RELA_supp,0.0761904761904762,3.870244122193814,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'hc_supp.genes_vs_tracks.rankings'})","[('LINC01877', 0.7160751555698344), ('CFAP299', 0.7191580971012471), ('ERG', 0.5100133915045519)]",17
SREBF2,SREBF2_supp,0.0986046511627907,5.866957742935481,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'hc_supp.genes_vs_tracks.rankings'})","[('LINC01170', 1.3139886568405492), ('GREM1', 1.7839625435170976), ('CENPP', 1.3188451604644766)]",21
YY1,YY1_supp,0.08181818181818182,3.6523723164945507,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'hc_supp.genes_vs_tracks.rankings'})","[('CTCF', 2.341121428379518), ('ARHGEF10L', 0.5155455514923833), ('TPCN1', 0.7700211624632967), ('CERS4', 3.6712886939995935), ('TBX19', 2.089616023375469)]",46
ZNF136,ZNF136_supp,0.0696969696969697,3.809814321254092,0.0,1.0,placeholder,"frozenset({'activating', 'top50', 'hc_supp.genes_vs_tracks.rankings'})","[('ABCB1', 0.4015105417202135), ('LINC01098', 0.3813186388322317), ('SEMA3E', 0.609246812059906)]",18
JDP2,JDP2_supp,0.08592592592592592,4.05061824735818,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('DUSP1', 1.0749638448812624), ('EPB41', 1.1202483480675027), ('SKIL', 1.2925900872617049)]",34
MZF1,MZF1_supp,0.18,5.853084134256647,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('KATNAL2', 1.4177447690095537), ('SHOC1', 2.35370368216514)]",37
PRDM4,PRDM4_supp,0.08549019607843138,3.934512015046033,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('LINC01949', 1.029131243978829), ('STEAP1B', 1.960679300338191)]",38
SOHLH2,SOHLH2_supp,0.16,4.660649444217078,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('ZBTB14', 2.0503974174444988)]",29
SRF,SRF_supp,0.20833333333333334,4.5482790980270495,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('FRK', 0.9620536394548042)]",35
STAT5B,STAT5B_supp,0.0744,3.1615386444161206,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('MIPEP', 0.9390767493383646), ('ZBTB37', 1.1494938004450312), ('SNAI3', 1.9155223243702184), ('GTF2F2', 1.143299906271528)]",63
XBP1,XBP1_supp,0.13777777777777778,3.0976123422926922,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('BAG3', 1.0371745144389235)]",22
YY1,YY1_supp,0.13636363636363635,4.318566744494157,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('YY1', 1.0), ('CTCF', 2.341121428379518), ('MT1G', 1.4704634715078355)]",22
ZBTB18,ZBTB18_supp,0.09777777777777778,3.108225313775764,0.0,1.0,placeholder,"frozenset({'activating', 'hc_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('BMP7', 1.2331257912031992)]",30
NR1D1,NR1D1_supp,0.18285714285714286,6.469806224603423,0.0,1.0,placeholder,"frozenset({'top10perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('NR1D1', 1.0)]",21
SOHLH2,SOHLH2_supp,0.17777777777777778,3.8144002467622573,0.0,1.0,placeholder,"frozenset({'top10perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('E2F6', 0.4670294224808797), ('ZBTB14', 2.0503974174444988)]",29
SREBF2,SREBF2_supp,0.043670411985018726,3.3586721664686174,0.0,1.0,placeholder,"frozenset({'top10perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('SYNJ2', 1.3527412015107618), ('PTGDS', 1.2805896379966788), ('CCDC122', 0.6351067773070709), ('LINC00609', 0.7479190144612892), ('LINC01608', 0.6905270649271779), ('ASPA', 0.6934196426903615), ('LYPD6B', 1.214467743727368), ('SCD', 1.07381869120242), ('AFAP1L2', 0.6227449806076433), ('MYRF', 0.8424636020387536)]",40
SRF,SRF_supp,0.09259259259259259,3.0033774972709653,0.0,1.0,placeholder,"frozenset({'top10perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('HHAT', 0.4754644744155907)]",19
TBX3,TBX3_supp,0.13444444444444445,3.048462099579939,0.0,1.0,placeholder,"frozenset({'top10perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('EGR3', 1.2628333695252252)]",26
YY1,YY1_supp,0.09473684210526316,3.775324581820148,0.0,1.0,placeholder,"frozenset({'top10perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('TCF3', 0.403930621452444), ('YY1', 1.0), ('VEZF1', 0.6683576009345789), ('CTCF', 2.341121428379518)]",27
ZNF85,ZNF85_supp,0.16266666666666665,4.8523766283694245,0.0,1.0,placeholder,"frozenset({'top10perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('IRF3', 0.8645492885823824), ('NWD1', 0.8155888159827587), ('TENT5A', 1.1771851764092378)]",67
STAT5B,STAT5B_supp,0.04552447552447553,3.355986336241843,0.0,1.0,placeholder,"frozenset({'top50perTarget', 'activating', 'hc_supp.genes_vs_tracks.rankings'})","[('STAT3', 0.1738600229078863), ('EZR', 0.2427512912577589), ('GTF2F2', 1.143299906271528), ('GRK5', 0.021500683213079), ('IRF8', 0.2228993594484127), ('DDX60', 0.575532561517222), ('STK3', 0.197519438309785), ('KBTBD12', 1.584519689759509), ('KIF13B', 0.0423319448388582), ('KLF12', 0.2363758245566256), ('STAT5B', 1.0), ('PARP9', 0.1237986620491252), ('SREBF1', 0.8556848643757728), ('TCF12', 0.0674876342102901), ('MYOF', 0.134278128095368), ('ANKFN1', 0.0878334278729797), ('ELF1', 0.1039203789246383)]",39
