,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
TBX18,TBX18_supp,0.07387387387387387,3.830424750492639,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>75.0%'})","[('ARHGAP42', 1.7587651834257372), ('PDLIM5', 0.9207722177751736), ('TBX18', 1.0), ('GOLIM4', 0.4903125523098219), ('MIR4300HG', 3.36830374078004), ('RPL41', 0.6722747077597574)]",90
VEZF1,VEZF1_supp,0.05515151515151515,3.2541360188392177,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>75.0%'})","[('SMOC1', 1.032330168041637), ('PRR16', 2.937536042861084), ('PTN', 0.8133368339403642), ('CPB2-AS1', 1.0359633329275444), ('LINC01135', 0.8547394911389722), ('LINC01725', 1.137846380655103), ('CLU', 2.749669699842076), ('SPANXA2-OT1', 0.9608520601362278), ('CDKN2B-AS1', 0.8801938135898375), ('PRDM16', 0.577074495841084), ('C9orf153', 0.9661818821032496), ('BACE2', 0.542183435918627), ('SOX9', 0.4541582566608769)]",51
ZSCAN29,ZSCAN29_supp,0.06588235294117648,3.1565564596132405,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>75.0%'})","[('SPHKAP', 1.3769267991799097), ('PPFIBP2', 0.9109456653314671), ('LINC01931', 1.0149656246841554)]",32
MTF1,MTF1_supp,0.1219047619047619,3.298369714371102,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('ZNF530', 1.0503245237193777), ('STK33', 1.8241743797478092), ('FAM53B', 1.5165042205685837), ('ZFY', 2.3423185818696144)]",53
NEUROD1,NEUROD1_supp,0.07551515151515152,3.8886136659962367,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('ZKSCAN5', 1.93849038064364), ('MT-CO1', 2.696351496947712), ('TPD52L1', 1.6872740244674147), ('NEUROD1', 1.0), ('E2F6', 1.1630910135568653)]",36
TBX18,TBX18_supp,0.0993939393939394,4.225162371011804,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('MZF1', 0.9294598402922368), ('CD9', 1.3535039139916727)]",16
TCF7,TCF7_supp,0.10571428571428572,3.122248269011211,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('TCF7', 1.0)]",19
VEZF1,VEZF1_supp,0.07919191919191919,4.196833898638961,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('ZNF281', 2.934596959607166), ('RPS18', 1.1984288919005306), ('EVI2B', 1.2463154263067802), ('IFT88', 1.2771635164253183), ('TRAPPC10', 1.568395240743906), ('CPB2-AS1', 1.0359633329275444), ('VEZF1', 1.0)]",60
ZKSCAN1,ZKSCAN1_supp,0.14222222222222222,5.714633044447795,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('TRPC6', 1.300383401900267), ('TCF7L2', 0.9592755129015836), ('RREB1', 0.9141805618858992)]",15
ZNF341,ZNF341_supp,0.05987421383647799,3.043960227056493,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'weight>90.0%'})","[('MMD2', 1.8524125434825625), ('SLC1A2', 1.4037466704736374), ('NEUROD1', 4.864662410489428), ('CSRP1', 1.022514530131663), ('ENPP6', 0.9716165623527118)]",53
IRF2,IRF2_supp,0.06,3.0870981213625246,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top50', 'activating'})","[('IRF2', 1.0), ('LYPLAL1-DT', 0.8868933690931778), ('BACH2', 0.751595462989008), ('RGS20', 0.7285542849518775)]",41
NEUROD1,NEUROD1_supp,0.08652777777777777,4.157723968352788,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top50', 'activating'})","[('E2F6', 1.1630910135568653), ('NEUROD1', 1.0), ('MT-CO1', 2.696351496947712), ('ZKSCAN5', 1.93849038064364), ('TPD52L1', 1.6872740244674147)]",36
SOX8,SOX8_supp,0.055121951219512196,3.278159920629626,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top50', 'activating'})","[('ZNF135', 1.8437285792571136), ('PON2', 1.8712860811846317), ('CLCA4', 2.852197223020592), ('RFTN2', 1.6101537623887163), ('GHR', 2.954725919679388)]",80
TBX18,TBX18_supp,0.06356589147286822,3.4242408507348157,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top50', 'activating'})","[('NDUFAF6', 0.3621105091874514), ('C12orf76', 0.953540869325904), ('STS', 1.2752610983489616), ('PLEKHH1', 0.3347054588292416), ('CD9', 1.3535039139916727)]",67
ZKSCAN1,ZKSCAN1_supp,0.0927536231884058,4.722135440398838,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top50', 'activating'})","[('ZNF382', 0.7337717155034883), ('PIGF', 1.9056852941548077), ('RREB1', 0.9141805618858992), ('ZKSCAN1', 1.0), ('XRCC4', 1.2233923550369097)]",60
E2F4,E2F4_supp,0.09333333333333334,3.1769978690928053,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top5perTarget'})","[('LINC01515', 1.9306116766843189), ('NR2C2', 2.2460700394685165)]",24
MTF1,MTF1_supp,0.1476923076923077,3.9805256980924963,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top5perTarget'})","[('SAMMSON', 1.8241743797478092), ('STK33', 1.8241743797478092)]",13
NEUROD1,NEUROD1_supp,0.06312056737588652,3.117720782716979,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top5perTarget'})","[('ZKSCAN5', 1.93849038064364), ('MT-CO1', 2.696351496947712), ('TPD52L1', 1.6872740244674147), ('NEUROD1', 1.0)]",36
NFIB,NFIB_supp,0.051111111111111114,3.2369830729070097,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top5perTarget'})","[('LINC00601', 1.7051979298408642), ('CADM2', 2.152734697978869), ('LINC02552', 1.207942805223596), ('GRIK1', 0.8024208959290694), ('MAP7', 1.0177514512914316)]",40
NR1D1,NR1D1_supp,0.0725925925925926,3.0648182448937966,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top5perTarget'})","[('HSPB8', 1.2049724167200662), ('RNF6', 1.961393665367285)]",26
TCF7,TCF7_supp,0.24666666666666667,5.678849558722337,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top5perTarget'})","[('TCF7', 1.0)]",19
ZKSCAN1,ZKSCAN1_supp,0.08982456140350877,3.1657281585843102,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top5perTarget'})","[('ELF1', 1.1524127182116934), ('XRCC4', 1.2233923550369097), ('RNF19A', 3.383289081626307), ('LYN', 1.6679129781741169), ('LINC01931', 1.682867131819083), ('PIGF', 1.9056852941548077)]",104
ZNF341,ZNF341_supp,0.06296296296296296,3.0039611130912975,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'activating', 'top5perTarget'})","[('ZIC1', 1.534117069134878), ('MT-ND3', 1.206079437907945), ('FMN2', 1.0194838848450885)]",20
NEUROD1,NEUROD1_supp,0.059333333333333335,3.4124928374877332,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top10perTarget', 'activating'})","[('ZKSCAN5', 1.93849038064364), ('MT-CO1', 2.696351496947712), ('NEUROD1', 1.0), ('TPD52L1', 1.6872740244674147), ('E2F6', 1.1630910135568653)]",36
TBX18,TBX18_supp,0.07809523809523809,3.6769417527705057,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top10perTarget', 'activating'})","[('ARHGAP42', 1.7587651834257372), ('TBX18', 1.0), ('RPL41', 0.6722747077597574), ('MIR4300HG', 3.36830374078004), ('PDLIM5', 0.9207722177751736)]",90
VEZF1,VEZF1_supp,0.07045751633986928,4.2239502025185125,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top10perTarget', 'activating'})","[('CREB1', 1.174553242095301), ('NR2F2', 0.7672518023200942), ('KIAA1217', 0.7884613176273031), ('CDC14B', 1.1740372033756508), ('CLU', 2.749669699842076), ('CNDP2', 1.3620169601355194), ('EVI2B', 1.2463154263067802), ('LGR5', 0.6617988155268786), ('JUN', 2.729000449830889), ('PTN', 0.8133368339403642)]",61
ZKSCAN1,ZKSCAN1_supp,0.08366013071895424,4.2069261636210165,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top10perTarget', 'activating'})","[('ZIC5', 1.7501675667061272), ('ELF2', 0.9208203272552252), ('ELK1', 0.842468922809163), ('UNC13B', 0.6869138578542937), ('RREB1', 0.9141805618858992)]",48
ZSCAN29,ZSCAN29_supp,0.07859649122807018,3.2746311738345724,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top10perTarget', 'activating'})","[('SNCAIP', 1.065338980493911), ('P2RX7', 0.976954741348688), ('NEUROD2', 1.2975200247022334)]",44
NEUROD1,NEUROD1_supp,0.045962441314553994,3.328115081816342,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top50perTarget', 'activating'})","[('ZKSCAN5', 1.93849038064364), ('MMD2', 1.7375055616537889), ('E2F6', 1.1630910135568653), ('USF2', 0.1869006582388659), ('LINC00609', 0.1456650990928197), ('NEUROD1', 1.0), ('CSRP1', 2.0951709974027235), ('SLC1A2', 2.0389302203853634), ('DNAJB1', 0.2899377680698395), ('KCND2', 0.1629161912631585), ('TFE3', 1.911357521942496)]",60
TBX18,TBX18_supp,0.06074074074074074,3.1493237025316776,0.0,1.0,placeholder,"frozenset({'pd_supp.genes_vs_tracks.rankings', 'top50perTarget', 'activating'})","[('CST3', 0.169778068422156), ('ARHGAP42', 1.7587651834257372), ('C12orf76', 0.953540869325904), ('PDLIM5', 0.9207722177751736), ('GTF2IRD2B', 0.7730950893266592), ('DLGAP2', 0.2144980661444321), ('KLF7', 0.1168321339289884), ('PWWP2A', 1.0727556676609715)]",67
