,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
HIF1A,HIF1A_supp,0.05584905660377359,3.267652935790825,0.0,1.0,placeholder,"frozenset({'activating', 'weight>75.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('ETS1', 0.6645460274195536), ('GRB2', 0.6029601081787398), ('ETV6', 1.0894474008591577), ('SRBD1', 0.4643303131714347), ('ELF1', 1.015896267318612), ('TMCC3', 1.1168073257112754), ('PARP14', 0.4731195414789123)]",26
MLX,MLX_supp,0.09769230769230769,4.292641157701586,0.0,1.0,placeholder,"frozenset({'activating', 'weight>75.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('WWP2', 0.7187746224062943), ('HPS3', 0.3801726868743936), ('LATS2', 1.009258071191392)]",38
ZNF708,ZNF708_supp,0.03911111111111111,3.0006182953971092,0.0,1.0,placeholder,"frozenset({'activating', 'weight>75.0%', 'rbd_supp.genes_vs_tracks.rankings'})","[('PCDH9', 0.4643998870975054), ('SYNJ2', 1.2753910865796745), ('SPATA13', 0.8847226717879131), ('KCNMB4', 0.4395989106602473), ('KIAA1755', 0.4550440158388389), ('SLC35D2', 0.8128333702346091), ('TMEM235', 0.4033571709838943), ('PLS3-AS1', 0.7298806808914953), ('ASPA', 0.9575677735388184), ('SLAIN1', 0.4987915949159653), ('PPP1R14A', 0.6403041852761264), ('MYRF', 0.6441072160307236), ('GNAI1', 1.1021384762674091), ('LINC00609', 0.9066779582591172), ('NCOA7', 1.5158887273103037), ('ALCAM', 0.4824574778783145), ('USP54', 1.247479949123548), ('PTGDS', 0.5983818546511694), ('QKI', 0.7109208033798405), ('FAM124A', 0.6584151795418323), ('LINC01608', 0.4790529941500622)]",53
HIF1A,HIF1A_supp,0.07789473684210527,3.3853052878944823,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('PRKD3', 1.0644032537836343), ('ALPK1', 1.8300503920419575), ('CHSY1', 0.8881054978623234), ('SLC7A5', 0.9112025626273792)]",38
JUN,JUN_supp,0.10909090909090909,3.856621195746655,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('LINC00601', 0.8818686572235641), ('ITGB4', 0.886326256141041), ('KLF7', 1.660992821515776)]",35
SOX10,SOX10_supp,0.04725388601036269,3.2073614352320985,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('FAM124A', 2.3002406735829557), ('SYNJ2', 2.577576334447646), ('LINC00609', 2.5866046470257147), ('SH3BP4', 1.67836230388831), ('CNP', 1.6501990619022529), ('ASPA', 1.7681745057397464), ('GNAI1', 2.063273792264721), ('KIAA1755', 0.8558462743231938), ('PPP1R14A', 1.4261626009845267), ('SLAIN1', 1.2278994947499429), ('SCD', 1.048334923145432), ('MYRF', 2.0482759099177987), ('YPEL2', 1.2413190197699473), ('QKI', 0.888143003110368), ('SOX10', 1.0), ('RNF152', 1.870719660537004), ('PHLDB1', 1.4840106269533848), ('USP54', 2.365860289051212)]",53
SRF,SRF_supp,0.20666666666666667,5.3946040060203355,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('OLIG1', 0.8893664025939537)]",45
ZNF708,ZNF708_supp,0.05129770992366412,3.510353034276009,0.0,1.0,placeholder,"frozenset({'weight>90.0%', 'activating', 'rbd_supp.genes_vs_tracks.rankings'})","[('RFFL', 1.206240790231969), ('RETREG1', 1.9361277892481683), ('NTM-AS1', 0.8145121506566511), ('NKAIN1', 1.053325888737683), ('ASPA', 0.9575677735388184), ('GPRC5B', 1.1292125200129477), ('PHGDH', 1.1129140552236825), ('TYMSOS', 1.053401559751527), ('USP54', 1.247479949123548), ('ZNF708', 1.0)]",58
HIF1A,HIF1A_supp,0.06434782608695652,3.165192472555292,0.0,1.0,placeholder,"frozenset({'activating', 'rbd_supp.genes_vs_tracks.rankings', 'top50'})","[('SLC7A5', 0.9112025626273792), ('ALPK1', 1.8300503920419575), ('PRKD3', 1.0644032537836343), ('CHSY1', 0.8881054978623234)]",38
MLX,MLX_supp,0.057727272727272724,3.1647327960734852,0.0,1.0,placeholder,"frozenset({'activating', 'rbd_supp.genes_vs_tracks.rankings', 'top50'})","[('ZNF76', 0.5512009667612103), ('THAP1', 0.3180367322267005), ('MET', 0.5632647090739143)]",19
SOX10,SOX10_supp,0.08085106382978724,4.108913279586681,0.0,1.0,placeholder,"frozenset({'activating', 'rbd_supp.genes_vs_tracks.rankings', 'top50'})","[('FAM124A', 2.3002406735829557), ('GNAI1', 2.063273792264721), ('LINC00609', 2.5866046470257147), ('SOX10', 1.0), ('SYNJ2', 2.577576334447646), ('MYRF', 2.0482759099177987), ('USP54', 2.365860289051212)]",53
JUN,JUN_supp,0.13333333333333333,4.129394033141945,0.0,1.0,placeholder,"frozenset({'activating', 'rbd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('ETV4', 1.8351193304327675), ('RFX5', 3.2437686665137986), ('KLF7', 1.660992821515776)]",43
MLX,MLX_supp,0.2822222222222222,6.17430147515839,0.0,1.0,placeholder,"frozenset({'activating', 'rbd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('LATS2', 1.009258071191392), ('WWP2', 0.7187746224062943)]",38
MNT,MNT_supp,0.23555555555555555,6.594946248498662,0.0,1.0,placeholder,"frozenset({'activating', 'rbd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('IFI16', 1.0071733913238163), ('PXDNL', 1.717051038149965)]",71
PRDM15,PRDM15_supp,0.06421052631578947,3.040946128990702,0.0,1.0,placeholder,"frozenset({'activating', 'rbd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('RPS18', 1.7203348032267756), ('PRDM15', 1.0)]",56
SOX10,SOX10_supp,0.049565217391304345,3.187089359805469,0.0,1.0,placeholder,"frozenset({'activating', 'rbd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('SYNJ2', 2.577576334447646), ('RNF152', 1.870719660537004), ('PHLDB1', 1.4840106269533848), ('PPP1R14A', 1.4261626009845267), ('GNAI1', 2.063273792264721), ('ASPA', 1.7681745057397464), ('LINC00609', 2.5866046470257147), ('SOX10', 1.0), ('SH3BP4', 1.67836230388831), ('CNP', 1.6501990619022529), ('USP54', 2.365860289051212), ('YPEL2', 1.2413190197699473), ('MYRF', 2.0482759099177987), ('FAM124A', 2.3002406735829557)]",53
SRF,SRF_supp,0.20666666666666667,6.370339096713722,0.0,1.0,placeholder,"frozenset({'activating', 'rbd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('SRF', 1.0)]",75
ZNF708,ZNF708_supp,0.057435897435897436,3.647909288714305,0.0,1.0,placeholder,"frozenset({'activating', 'rbd_supp.genes_vs_tracks.rankings', 'top5perTarget'})","[('FAP', 2.179426534714074), ('SELENOP', 2.1430608807065217), ('OLIG1', 1.1466846836712024), ('SGK1', 2.2516314182365447), ('CREB5', 1.6049952568150074)]",14
MLX,MLX_supp,0.13025641025641024,3.8691791737172343,0.0,1.0,placeholder,"frozenset({'activating', 'top10perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('LATS2', 1.009258071191392), ('WWP2', 0.7187746224062943)]",38
MYC,MYC_supp,0.05904761904761905,3.635251601592687,0.0,1.0,placeholder,"frozenset({'activating', 'top10perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('MYC', 1.0), ('SMOC1', 2.61423658798697), ('PAIP2B', 3.5001647990029383), ('PCDH9-AS4', 0.6483839935521306)]",26
SRF,SRF_supp,0.1180952380952381,4.172318544540223,0.0,1.0,placeholder,"frozenset({'activating', 'top10perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('OLIG1', 0.8893664025939537)]",45
STAT6,STAT6_supp,0.06962962962962962,3.0584674361462323,0.0,1.0,placeholder,"frozenset({'activating', 'top10perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('RPS11', 0.2996378037458034), ('LRRK2', 0.5137179166676513)]",42
TCF7,TCF7_supp,0.11487179487179487,3.783015175129455,0.0,1.0,placeholder,"frozenset({'activating', 'top10perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('ABI3', 0.570895357601445), ('PPM1D', 1.1007215091629976), ('ZNF8', 0.5653842937023497)]",64
GABPA,GABPA_supp,0.047,3.078390822561427,0.0,1.0,placeholder,"frozenset({'activating', 'top50perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('RELB', 0.4315771975229003), ('NDE1', 0.1078864463416239), ('AIDA', 0.1156268831407512), ('YAP1', 0.1240790713855363), ('WBP2NL', 0.4457059254297041), ('RCBTB1', 0.1439369968174274), ('RNASEK', 0.1643490519898087), ('ETV1', 0.1984338117171931), ('HSF2', 0.3006998207814089), ('LEKR1', 0.1090209432425479), ('CD164', 0.1421798257652025)]",37
OLIG2,OLIG2_supp,0.04067924528301887,3.013366033687613,0.0,1.0,placeholder,"frozenset({'activating', 'top50perTarget', 'rbd_supp.genes_vs_tracks.rankings'})","[('SH3BP4', 0.6968398036458633), ('CAPN3', 1.5575336823519284), ('LINC00609', 0.1522414855635053), ('SYNJ2', 0.0883994839614827), ('PLEKHB1', 0.1038603532886256), ('PPP1R14A', 0.2034273556838554), ('SLC38A2', 0.146240940841324), ('LINC01608', 0.1286154104617585), ('CCDC122', 0.1177051844593034), ('SLAIN1', 0.137327491951905), ('PTGDS', 0.3386247801948743), ('USP54', 0.1042031447072841), ('RYBP', 0.2933823104875159), ('GNAI1', 0.1776059342726008), ('PHLDB1', 0.1246057066660634), ('MOB3B', 0.1788235292323542), ('SOX10', 1.6224529290573628), ('SCD', 0.0797890536692471)]",53
