,id,module,supermodule,dim_1,dim_2
1,AL627309.1,17,1,-2.47107284876539,2.72992262929825
2,AL627309.5,21,1,-0.571008618800182,3.54954228490738
3,ISG15,15,1,-0.617749389140148,-0.392391496001203
4,TNFRSF4,28,1,2.07040241745279,0.950574136675875
5,SCNN1D,13,1,0.827746454747182,0.298920131625216
6,MRPL20,4,1,-2.02645939203932,-5.63640847116562
7,AL391244.2,26,1,0.537866298230153,0.849332309664766
8,CDK11A,21,1,-0.617199595896739,3.06414566129593
9,NADK,25,1,0.984833065541249,3.48453364461807
10,GNB1,21,1,0.0738890805558974,3.45079503148941
11,SKI,6,1,-1.2005318960829,2.98508987516312
12,MORN1,30,1,2.65387973573969,0.278614855708162
13,PANK4,28,1,1.55736190465258,0.685633040370028
14,AL139246.5,11,1,4.03552955773638,4.06698021978287
15,MEGF6,8,1,1.17869657662676,-2.68113329320999
16,LINC01134,13,1,1.14835006383226,-0.997486271558721
17,AL365255.1,22,1,2.12837204721735,-0.960997403262575
18,RPL22,4,1,-2.04120128962233,-5.67346062570663
19,TNFRSF25,13,1,0.773807350666981,0.403968907298128
20,KLHL21,7,1,2.17977720883654,-1.67654153019043
21,CAMTA1,8,1,0.743886772664052,-3.43707337289902
22,PER3,16,1,3.75325090077684,1.41785917371659
23,Z98884.1,27,1,-0.608500894038219,-1.33858942299934
24,ERRFI1,10,1,-0.88525789591505,1.70802674383072
25,RERE,5,1,0.37966114667223,-2.82957723051163
26,ENO1,24,1,-0.00928252550794539,1.33985767454056
27,SLC2A5,24,1,0.0474849381761366,1.43822441190628
28,MIR34AHG,25,1,0.0761085191087538,3.06374416440872
29,PIK3CD,25,1,0.260294739277821,3.17892537206558
30,PIK3CD-AS1,1,1,-1.75015896174147,0.429531074465792
31,AL357140.4,10,1,-1.86392610880567,2.21880946248917
32,LZIC,2,1,-0.132608111826915,2.54897556394486
33,PGD,2,1,-0.126400168864269,2.30495867818741
34,AL139423.2,26,1,0.950749937565785,1.63499937147049
35,AL031731.1,4,1,-1.45187419268324,-5.68892588525863
36,FBXO2,28,1,2.25944760826395,1.06560371011643
37,FBXO6,2,1,-0.728303607432384,2.20200929731278
38,PLOD1,12,1,3.11871904519365,-3.27782907396408
39,TNFRSF1B,10,1,-0.73113602015211,1.23893056005387
40,VPS13D,25,1,0.207792107136708,2.87388024419693
41,DHRS3,20,1,-1.62779348704054,-2.41074659734817
42,PDPN,21,1,-0.240702088801402,3.06331787198929
43,PRDM2,2,1,-0.706298049418468,1.91253147214798
44,KAZN,16,1,4.4920015969591,1.98797831624893
45,TMEM51,29,1,0.661341849835377,2.64756951421646
46,FHAD1,15,1,-0.384261783091564,-0.258598589001615
47,EFHD2,19,1,-2.11853903147413,2.83290276616959
48,DDI2,10,1,-0.88077848765089,1.35848746389298
49,SPEN,12,1,3.55027431634234,-3.69835390955063
50,SDHB,2,1,-0.493276532618541,2.85237560361771
51,PADI2,24,1,-0.285826619593639,1.12600383848099
52,ARHGEF10L,12,1,3.55240077164934,-3.0305303564653
53,IGSF21,13,1,1.44217211392687,-0.206923269329985
54,UBR4,6,1,-1.33288472506239,2.64620242208389
55,CAPZB,18,1,0.25943261769579,-0.780261956749876
56,MICOS10,18,1,0.320947472126942,-1.14717348724457
57,LINC01141,18,1,0.288098398716908,-0.878476972820629
58,HP1BP3,7,1,1.96983445075319,-2.04646851926895
59,EIF4G3,17,1,-2.34255903574659,3.21989426702408
60,NBPF3,30,1,3.22751760867403,-0.0472257366761759
61,USP48,9,1,-5.39214866968824,-1.13577350288482
62,CDC42,19,1,-2.09735649439527,2.46417937368302
63,ZBTB40,12,1,2.95571235206888,-3.06312813669296
64,C1QA,15,1,0.351845566304188,0.15552363485245
65,C1QC,15,1,0.270924631627064,0.0928798088446066
66,C1QB,15,1,0.399831120045643,0.0751003393545553
67,EPHB2,25,1,0.805536572010976,3.12043366521744
68,AL031428.1,16,1,4.91533071187304,2.17106447309403
69,HNRNPR,1,1,-1.79076164576246,1.13694009870438
70,RPL11,4,1,-1.70672529551222,-5.80976166635605
71,IFNLR1,29,1,0.641288463147145,2.63425622075943
72,LINC02800,26,1,0.590201202900868,1.85261283010391
73,NCMAP,13,1,1.37646645692156,-0.506707691250761
74,CLIC4,6,1,-1.07916992518141,2.73696885198502
75,SYF2,4,1,-1.4644147715254,-5.62758459955307
76,RSRP1,13,1,0.618246499569874,-0.512439452706297
77,MACO1,3,1,-2.23582428309156,-0.744754352270086
78,MAN1C1,1,1,-2.176032241313,1.77541861623673
79,EXTL1,15,1,-0.661168034998912,-0.45628701954933
80,HMGN2,4,1,-2.19001072260572,-5.21607699304672
81,RPS6KA1,2,1,-0.0982710680647081,2.42471609205155
82,ARID1A,6,1,-0.877774890391368,2.83382520765213
83,NUDC,14,1,3.16317648080156,-3.74532976060959
84,WDTC1,23,1,1.50071108725832,-2.08114876657577
85,WASF2,22,1,1.79730642226503,-0.606537782250364
86,FGR,21,1,-0.305843528239269,3.20664677709488
87,IFI6,15,1,-0.607509311167735,-0.411057316361387
88,STX12,10,1,-1.04965132090284,1.79422984212784
89,THEMIS2,10,1,-0.771993335215587,1.20588383764176
90,EYA3,6,1,-1.37504952761366,3.19546208471207
91,PTAFR,13,1,0.73389345792101,-0.366041683255155
